,timeSeconds,frameNum,blobCount,trackCount,Unnamed: 4,Accumulative,TOTAL,TOTALAccumulative,Time
69,327,3598,0,0,0,34,0,34,12:39:20
70,327,3598,0,0,0,35,0,35,12:44:15
71,327,3598,0,0,0,26,0,26,12:49:10
72,327,3598,0,0,0,43,0,43,12:54:5
73,327,3598,0,0,0,25,0,25,12:59:0
74,327,3598,0,0,0,30,0,30,13:0:56
75,327,3598,0,0,0,21,0,21,13:5:51
76,327,3598,0,0,0,33,0,33,13:10:46
77,327,3598,0,0,0,29,0,29,13:15:41
78,327,3598,0,0,0,40,0,40,13:20:36
79,327,3598,1,1,1,39,1,39,13:25:31
80,327,3598,0,0,0,41,0,41,13:30:26
81,327,3598,1,1,1,31,1,31,13:35:21
82,327,3598,2,2,2,33,2,33,13:40:16
83,327,3598,0,0,0,37,0,37,13:45:11
84,327,3598,0,0,0,44,0,44,13:50:6
85,327,3598,0,0,0,50,0,50,13:55:1
86,327,3598,0,0,0,23,0,23,13:59:57
87,327,3598,0,0,0,28,0,28,14:0:52
88,327,3598,1,1,1,37,1,37,14:5:47
89,327,3598,0,0,0,29,0,29,14:10:42
90,327,3598,0,0,0,37,0,37,14:15:37
91,327,3598,1,1,1,27,1,27,14:20:32
92,327,3598,0,0,0,48,0,48,14:25:27
93,327,3598,0,0,0,32,0,32,14:30:22
94,327,3598,2,2,2,32,2,32,14:35:17
95,327,3598,1,1,1,20,1,20,14:40:12
96,327,3598,1,1,1,23,1,23,14:45:7
97,327,3598,1,1,1,37,1,37,14:50:2
98,327,3598,0,0,0,40,0,40,14:54:58
99,327,3598,0,0,0,24,0,24,14:59:53
100,327,3598,1,1,1,31,1,31,15:0:48
101,327,3598,2,2,2,59,2,59,15:5:43
102,327,3598,3,3,3,102,3,102,15:10:38
103,327,3598,5,5,5,111,5,111,15:15:33
104,327,3598,4,4,4,125,4,125,15:20:28
105,327,3598,1,1,1,103,1,103,15:25:23
106,327,3598,0,0,0,72,0,72,15:30:18
107,327,3598,0,0,0,48,0,48,15:35:13
108,327,3598,0,0,0,42,0,42,15:40:8
109,327,3598,0,0,0,46,0,46,15:45:3
110,327,3598,1,1,1,38,1,38,15:49:59
111,327,3598,0,0,0,59,0,59,15:54:54
112,327,3598,6,6,6,85,6,85,15:59:49
113,327,3598,7,7,7,251,7,251,16:0:44
114,327,3598,2,2,2,52,2,52,16:5:39
115,327,3598,3,3,3,90,3,90,16:10:34
116,327,3598,11,11,11,191,11,191,16:15:29
117,327,3598,11,11,11,226,11,226,16:20:24
118,327,3598,19,19,19,357,19,357,16:25:19
119,327,3598,7,7,7,312,7,312,16:30:14
120,327,3598,3,3,3,162,3,162,16:35:9
121,4,53,4,4,4,6,4,6,16:40:4
